TADs	SDOCs	log2n_SDOCs	QNed_SDOCs	QNed_log2n_SDOCs	log2_mean_expression	TAD_length_kb	mod_Zscore_SDOC	Zscore_SDOC	group
"chr1	670000	800000"	1169.2572502679536	678.7328148869763	0.429119344383632	0.973222758168673	0.0	130.0	0.326884719674961	0.041068781788568466	2
"chr1	800000	910000"	1168.5590635572144	779.0393757048096	0.428649539228834	1.1894634357213	2.40667271576	110.0	0.32633245089239704	0.040492159652767576	2
"chr1	910000	1030000"	3900.058737033007	1271.051302079386	1.78622602171025	1.90049831472167	4.91571210015	120.0	2.4869607986407196	2.296397566376048	4
"chr1	1030000	1240000"	1311.0970644130475	561.8987418913061	0.541170221530865	0.70254001223804	2.51194587852	210.0	0.4390806412989507	0.15821219817835566	3
"chr1	1240000	1450000"	2271.213142227504	633.8129475707934	1.13887133859151	0.879137256109721	4.25563402188	210.0	1.1985367140925223	0.9511579459138723	3
"chr1	1450000	1700000"	1472.8498311218505	480.0101285241202	0.66383821110695	0.481667097803398	2.95958470691	250.0	0.5670277966552033	0.29180142922025787	3
"chr1	1700000	1860000"	2665.096524094156	868.5700999708952	1.29227361715996	1.34820410263356	6.02075775509	160.0	1.510100214843425	1.276460437947762	3
"chr1	1860000	2120000"	456.29770335038734	235.9024904651875	-0.402943563126039	-0.311449678500598	0.0191088229477	260.0	-0.2370694417793971	-0.5477540221401218	2
"chr1	2120000	2330000"	1897.5877400621587	555.7530786278327	0.936862968724413	0.689999014186422	4.57570130795	210.0	0.9029973650688853	0.6425862213705444	3
"chr1	2330000	2470000"	1876.4059977005704	692.587311241853	0.920783093950894	0.999658660255623	2.48671437303	140.0	0.8862425129832132	0.625092531885119	3
"chr1	3340000	3540000"	569.2883471881535	294.3178059157806	-0.22304760454006	-0.111169509914076	0.0143552929771	200.0	-0.1476933417282633	-0.4544367112072563	2
"chr1	4930000	6280000"	155.58479365375078	45.5666561473019	-1.10753666340643	-1.3876059661372	6.41251339395	1350.0	-0.47493468611152034	-0.7961083915158661	1
"chr1	6280000	6400000"	1143.1061688006982	663.5525821943493	0.403406777591943	0.93341323240409	3.1065716642	120.0	0.3061990983325543	0.019470988222452846	2
"chr1	6400000	6520000"	2269.437419586185	899.2433019443721	1.13523594112857	1.40265250676723	3.56620629347	120.0	1.197132109613222	0.9496914027008927	3
"chr1	6520000	6760000"	1143.3324766295284	395.528052026708	0.403780584111821	0.226919885918668	2.81723951099	240.0	0.30637810882815714	0.01965789252985557	2
"chr1	6760000	6980000"	2163.3669559330374	530.6516445199601	1.08697801091156	0.619871356466326	5.01469003795	220.0	1.1132299027584165	0.8620893668037789	3
"chr1	6980000	7290000"	518.1609917855232	205.31643532913432	-0.3020748618531	-0.420148557474573	0.0	310.0	-0.18813530644860263	-0.49666204207741893	2
"chr1	7290000	7700000"	455.82186826050116	168.24527449317833	-0.404022798992575	-0.604878423296245	0.0	410.0	-0.2374458294444021	-0.5481470073425022	2
"chr1	7700000	7830000"	400.70826831745836	317.5537895060414	-0.495533936573508	-0.0331602333773639	0.0	130.0	-0.28104093126327623	-0.5936645189507994	2
"chr1	7830000	8010000"	725.8888909509764	375.2791125596685	-0.0235865163224805	0.162961485211178	3.40803246613	180.0	-0.023821617556975205	-0.32510262531999007	2
"chr1	8010000	8270000"	1779.946577516463	454.7165934380788	0.86371865117121	0.41135684189735	7.67198327209	260.0	0.8099426841086423	0.5454281154344213	3
"chr1	8270000	8410000"	809.4688980694764	469.8821440912579	0.0831690849963775	0.456776368958185	0.0	140.0	0.0422905385010358	-0.2560751266958847	2
