chr	start	end	SDOA	TAD_length	Alu	GM12878_CTCF	GM12878_RNAseq	GM12878_H3K27me3	GM12878_DHS	GM12878_H3K4me3	GM12878_MRE
chr1	670000	800000	1.065709059	14	0.547273413	0.061339965	0.561011233	0.029730334	0.122743988	0.1303046	0.414877189
chr1	800000	910000	1.065619037	12	0.175010428	0.498920253	0.377991194	0.694608712	0.990849084	0.835234418	2.484289815
chr1	910000	1030000	1.247328809	13	0.383627932	1.088634043	0.227238763	0.339421313	1.221903199	1.627445564	2.354081729
chr1	1030000	1240000	1.082966066	22	0.430460432	0.673450965	0.260093643	0.378471871	1.186322713	1.187822662	1.9232359
chr1	1240000	1450000	1.165798628	22	0.848963631	0.811938394	0.695500469	0.246808963	1.034930971	3.040651013	1.854777306
chr1	1450000	1700000	1.100501858	26	0.957535317	0.390266509	0.812857022	0.179571217	0.646599252	0.810114743	1.256324201
chr1	1700000	1860000	1.189912705	17	1.161346375	0.697742107	1.210462514	0.263237332	0.825123086	1.423715793	0.858457681
chr1	1860000	2120000	0.923969441	27	0.544054158	0.598064663	0.004804444	0.520280845	0.764411926	0.125224929	2.157267465
chr1	2120000	2330000	1.138700425	22	0.414517453	0.565118057	0.172535102	0.37375277	1.155849625	1.217080725	1.595913707
chr1	2330000	2470000	1.137008065	15	0.089679257	0.636595439	0.290325689	0.542932528	1.174061352	1.289952442	3.122060695
chr1	3340000	3540000	0.957276908	21	0.087885672	1.000292465	0.000857936	0.70411341	0.971053789	0.107379825	3.783470998
chr1	4930000	6280000	0.762304448	136	0.221341691	0.424769238	0.320758919	0.388476364	0.544961387	0.397362774	0.729023459
chr1	6280000	6400000	1.062300001	13	0.564979318	0.598064663	0.563549845	0.427786472	0.90487039	0.633081588	0.891524199
chr1	6400000	6520000	1.165680698	13	0.976507462	1.135541075	0.061943011	0.523584215	0.756656685	0.604848925	1.693514441
chr1	6520000	6760000	1.062329836	25	0.945119723	0.787647252	0.482360461	0.400120745	0.859383897	1.481975569	1.051769633
chr1	6760000	6980000	1.158463633	23	0.734282884	0.520241632	0.219288552	0.311267588	0.487971831	0.691156481	0.358367061
chr1	6980000	7290000	0.94310843	32	0.294302249	0.419137031	0.004073814	0.858023832	0.491707903	0.098173723	0.800390249
chr1	7290000	7700000	0.923812401	42	0.175567195	0.363243482	0.004201796	0.884900428	0.564258321	0.112743914	1.067483983
chr1	7700000	7830000	0.90441879	14	0.424941709	0.795615434	0.0026926	0.830162403	0.622953412	0.114403022	1.194620904
chr1	7830000	8010000	0.993876397	19	0.706805401	0.349196797	0.110044647	0.491651634	0.40815305	0.370693275	0.517702973
